tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
pga,2023,2023-06-11,RBC Canadian Open,32,yes,yes
kor,2023,2023-06-11,The 66th KPGA Championship with A-ONE CC,10013,no,no
kft,2023,2023-06-11,BMW Charity Pro-Am presented by TD SYNNEX,37,no,no
jpn,2023,2023-06-11,ASO IIZUKA Challenged Golf Tournament,10011,no,no
euro,2023,2023-06-11,Volvo Car Scandinavian Mixed,2023126,no,no
champ,2023,2023-06-11,American Family Insurance Championship,622,no,no
cha,2023,2023-06-11,Andalucía Challenge de Cádiz,2023308,no,no
atgt,2023,2023-06-11,Singha Chiang Mai Open,10012,no,no
alp,2023,2023-06-10,Croara Alps Open,10008,no,no
atvt,2023,2023-06-09,Landic Challenge 10,10004,no,no
pga,2023,2023-06-04,the Memorial Tournament presented by Workday,23,yes,yes
sam,2023,2023-06-04,Inter Rapidisimo Golf Championship presentado por Volvo,59,no,no
alp,2023,2023-06-04,Open de la Mirabelle d'Or,9996,no,no
cha,2023,2023-06-04,D+D Real Czech Challenge,2023307,no,no
champ,2023,2023-06-04,Principal Charity Classic,608,no,no
chn,2023,2023-06-04,Zhengzhou Open,10001,no,no
euro,2023,2023-06-04,Porsche European Open,2023125,no,no
jpn,2023,2023-06-04,BMW Japan Golf Tour Championship Mori Building Cup,10000,no,no
kft,2023,2023-06-04,UNC Health Championship presented by STITCH,48,no,no
ngl,2023,2023-06-02,UNICEF Championship,9992,no,no
afr,2023,2023-06-02,SunBet Challenge hosted by Sun City,9993,no,no
pgt,2023,2023-05-31,Riedhof Open,9991,no,no
sam,2023,2023-05-28,Colombia Classic presentado por Rocha Brothers,11,no,no
pga,2023,2023-05-28,Charles Schwab Challenge,21,yes,yes
jpn,2023,2023-05-28,Gate Way To The Open Mizuno Open,9984,no,no
kft,2023,2023-05-28,Visit Knoxville Open,11,no,no
euro,2023,2023-05-28,KLM Open,2023124,no,no
chn,2023,2023-05-28,Exciting Hangzhou West Lake Open,9986,no,no
champ,2023,2023-05-28,KitchenAid Senior PGA Championship,520,no,no
cha,2023,2023-05-28,Copenhagen Challenge presented by Ejner Hessel,2023306,no,no
afr,2023,2023-05-28,KitKat Cash & Carry Pro-am,9989,no,no
adt,2023,2023-05-28,Singha Laguna Phuket Open,9987,no,no
kor,2023,2023-05-28,KB Finance LIIV Championship,9988,no,no
liv,2023,2023-05-28,DC,15,no,basic
alp,2023,2023-05-26,Memorial Giorgio Bordoni by AON,9979,no,no
atvt,2023,2023-05-26,Taiheiyo Club Challenge Tournament,9985,no,no
ngl,2023,2023-05-25,Gamle Fredrikstad Open,9980,no,no
pga,2023,2023-05-21,PGA Championship,33,yes,yes
kft,2023,2023-05-21,AdventHealth Championship,100,no,no
jpn,2023,2023-05-21,Golf Partner Pro - Am Tournament,9972,no,no
kor,2023,2023-05-21,SK Telecom Open,9974,no,no
chn,2023,2023-05-21,Jinan Open,9973,no,no
cha,2023,2023-05-21,B-NL Challenge Trophy,2023305,no,no
afr,2023,2023-05-21,Zanaco Masters,9975,no,no
mex,2023,2023-05-20,Altozano Open,9976,no,no
ngl,2023,2023-05-18,Stora Hotellet Fjällbacka Open,9970,no,no
champ,2023,2023-05-14,Regions Tradition,558,no,no
chn,2023,2023-05-14,Guangdong Open,9966,no,no
kor,2023,2023-05-14,Woori Financial Group Championship,9967,no,no
pga,2023,2023-05-14,AT&T Byron Nelson,19,yes,yes
euro,2023,2023-05-14,Soudal Open,2023122,no,no
liv,2023,2023-05-14,Tulsa,14,no,basic
alp,2023,2023-05-13,31st Goesser Open,9962,no,no
ngl,2023,2023-05-12,Skåne Challenge by Ahlsell,9963,no,no
atvt,2023,2023-05-12,JAPAN PLAYERS CHAMPIONSHIP CHALLENGE in FUKUI,9965,no,no
euro,2023,2023-05-07,DS Automobiles Italian Open,2023117,no,no
anz,2023,2023-05-07,PNG Open,9959,no,no
sam,2023,2023-05-07,KIA Open,22,no,no
champ,2023,2023-05-07,Mitsubishi Electric Classic,15,no,no
cha,2023,2023-05-07,UAE Challenge,2023328,no,no
asa,2023,2023-05-07,The 42nd GS Caltex Maekyung Open Golf Championship,9958,no,no
pga,2023,2023-05-07,Wells Fargo Championship,480,yes,yes
afr,2023,2023-05-07,FBC Zim Open,9960,no,no
ngl,2023,2023-05-05,Golfkusten Blekinge by Scandic Hotels,9955,no,no
kft,2023,2023-04-30,HomeTown Lenders Championship,134,no,no
euro,2023,2023-04-30,Korea Championship Presented by Genesis,2023121,no,no
pga,2023,2023-04-30,Mexico Open at Vidanta,540,yes,yes
cha,2023,2023-04-30,Abu Dhabi Challenge,2023327,no,no
liv,2023,2023-04-30,Singapore,13,no,basic
champ,2023,2023-04-30,Insperity Invitational,615,no,no
jpn,2023,2023-04-30,The Crowns,9950,no,no
sam,2023,2023-04-30,Diners Club Peru Open,8,no,no
ngl,2023,2023-04-28,Bravo Tours Open by Enjoy Resorts,9945,no,no
pgt,2023,2023-04-28,Haugschlag NÖ Open by perfect eagle,9946,no,no
mgt,2023,2023-04-27,Royal Hua Hin Thailand Championship by MENA Tour,9951,no,no
kor,2023,2023-04-23,Golfzon OPEN In Jeju,9939,no,no
euro,2023,2023-04-23,ISPS HANDA - CHAMPIONSHIP,2023120,no,no
kft,2023,2023-04-23,LECOM Suncoast Classic,129,no,no
afr,2023,2023-04-23,The Tour Championship,9940,no,no
liv,2023,2023-04-23,Adelaide,12,no,basic
atgt,2023,2023-04-23,Singha Classic,9938,no,no
pga,2023,2023-04-23,Zurich Classic of New Orleans,18,yes,basic
champ,2023,2023-04-23,Invited Celebrity Classic,53,no,no
alp,2023,2023-04-22,Alps de Las Castillas,9934,no,no
pgti,2023,2023-04-22,Ahmedabad Open Golf Championship presented by Glade One,9937,no,no
atvt,2023,2023-04-21,i Golf Shaper Challenge in Chikushigaoka,9936,no,no
mgt,2023,2023-04-20,"Malaysian Swing II, The Els Club, Desaru Coast",9942,no,no
ngl,2023,2023-04-19,Sand Valley Spring Series Final - by ECCO,9952,no,no
jpn,2023,2023-04-16,Kansai Open Golf Championship,9925,no,no
kft,2023,2023-04-16,Veritex Bank Championship,137,no,no
kor,2023,2023-04-16,The 18th DB Insurance Promy Open,9927,no,no
afr,2023,2023-04-16,Stella Artois Players Championship,9928,no,no
asa,2023,2023-04-16,International Series Vietnam,9926,no,no
pga,2023,2023-04-16,RBC Heritage,12,yes,yes
pgti,2023,2023-04-15,Tata Steel PGTI Players Championship presented by Chandigarh Golf Club,9932,no,no
ngl,2023,2023-04-15,GEBWELL Championship,9922,no,no
mex,2023,2023-04-15,Abierto De Aguascalientes,9930,no,no
