tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Leishman, Marc",7649,T24,2,Plantation Course at Kapalua,656,73,69,-1.091,1.554,-0.01,-1.166,0.377,-0.714,295.2,0.733,0.722,0.857,56.857,30.782
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Werenski, Richy",19364,T24,4,Plantation Course at Kapalua,656,73,70,0.402,0.856,0.13,-1.031,-0.045,0.357,289.9,0.667,0.944,0.75,29.846,47.435
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Smith, Cameron",15856,T24,1,Plantation Course at Kapalua,656,73,70,2.472,-0.781,-1.654,-0.418,-2.853,-0.381,290.2,0.867,0.778,0.667,37.79,29.636
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Smith, Cameron",15856,T24,2,Plantation Course at Kapalua,656,73,70,-0.792,0.407,-1.617,0.289,-0.922,-1.714,292.8,0.933,0.722,0.7,,41.837
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Smith, Cameron",15856,T24,3,Plantation Course at Kapalua,656,73,66,1.335,-0.181,1.108,0.738,1.665,3.0,305.9,0.8,0.833,0.833,48.913,31.526
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Smith, Cameron",15856,T24,4,Plantation Course at Kapalua,656,73,72,-2.145,1.734,-1.472,0.24,0.502,-1.643,296.3,0.867,0.667,0.556,32.186,33.132
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Taylor, Nick",13126,T29,1,Plantation Course at Kapalua,656,73,67,0.3,1.087,0.054,1.178,2.319,2.619,300.2,1.0,0.833,1.0,74.893,26.117
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Taylor, Nick",13126,T29,2,Plantation Course at Kapalua,656,73,71,1.647,-0.498,-2.08,-1.782,-4.361,-2.714,290.5,0.667,0.667,0.6,28.989,47.59
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Taylor, Nick",13126,T29,3,Plantation Course at Kapalua,656,73,69,0.668,0.618,-1.149,-0.137,-0.668,0.0,303.8,0.8,0.778,0.714,59.1,44.667
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Taylor, Nick",13126,T29,4,Plantation Course at Kapalua,656,73,72,-0.657,0.284,-0.923,-0.347,-0.986,-1.643,292.2,0.8,0.667,0.667,50.826,42.072
pga,2021,2021,2021-01-10,Sentry Tournament of Champions,16,"Gay, Brian",5951,T29,1,Plantation Course at Kapalua,656,73,70,-2.408,-0.592,3.047,-0.428,2.027,-0.381,278.6,0.933,0.889,0.333,67.929,14.895
