am,country,course,dg_id,dk_id,dk_salary,early_late,fd_id,fd_salary,flag,pga_number,player_name_x,r1_teetime,r2_teetime,r3_teetime,r4_teetime,start_hole,unofficial,yh_id,yh_salary,driving_acc,driving_dist,player_name_y,sg_app,sg_arg,sg_ott,sg_putt,sg_total,event_id,expected_score,standard_deviation,cumulative_score,over_under_par,winning_probability
0,MEX,The Los Angeles Country Club (North Course),18238,28273452,7400,0,91156-77806,9100,MEX,45526,"Ancer, Abraham",12:48 PM,7:18 AM,,,10,0,golf.p.16893,25,0.09,-2.519,"Ancer, Abraham",-0.136,-0.182,0.205,0.059,-0.054,26,70.90287673849707,1.003187906140143,293.582200613277,13.582200613276996,3.877935047524872e-07
0,USA,The Los Angeles Country Club (North Course),8469,28273514,6500,1,91156-77816,7200,USA,19803,"Armour, Ryan",7:18 AM,12:48 PM,,,10,0,golf.p.3489,20,0.106,-15.959,"Armour, Ryan",-0.097,-0.139,-0.24,-0.282,-0.759,26,70.94472136174608,0.9653613909662847,299.9937092834243,19.993709283424323,0.0
0,FRA,The Los Angeles Country Club (North Course),16566,28273526,6400,1,91156-77832,7300,FRA,37212,"Barjon, Paul",8:46 AM,2:16 PM,,,10,0,golf.p.21180,20,-0.009,9.485,"Barjon, Paul",-0.485,-0.471,0.099,-0.209,-1.066,26,70.95427037062224,0.9947086401133908,302.7234577593696,22.72345775936958,0.0
0,USA,The Los Angeles Country Club (North Course),13872,28273443,7600,0,91156-77881,9200,USA,33141,"Bradley, Keegan",12:59 PM,7:29 AM,,,10,0,golf.p.10143,35,0.023,4.273,"Bradley, Keegan",0.301,0.157,0.356,0.224,1.038,26,71.0062274038643,0.9834966627113323,285.0834683262219,5.083468326221919,0.9998414995732318
0,USA,The Los Angeles Country Club (North Course),25363,28273483,6900,1,91156-101528,7900,USA,55708,"Buckley, Hayden",7:07 AM,12:37 PM,,,1,0,golf.p.22847,22,0.061,4.96,"Buckley, Hayden",0.153,-0.254,0.562,0.01,0.471,26,70.9645922634001,0.9984274777666445,289.59966546287376,9.599665462873759,0.16449136437957246
0,USA,The Los Angeles Country Club (North Course),19483,28273434,8200,0,91156-77904,9700,USA,47504,"Burns, Sam",1:32 PM,8:02 AM,,,10,0,golf.p.19107,39,-0.02,10.778,"Burns, Sam",0.298,0.093,0.381,0.506,1.279,26,70.98051748422901,0.993373710371402,282.7993445283395,2.799344528339475,0.9999999977482549
0,USA,The Los Angeles Country Club (North Course),15466,28273418,10300,0,91156-79435,11500,USA,35450,"Cantlay, Patrick",1:43 PM,8:13 AM,,,10,0,golf.p.11704,48,0.054,9.917,"Cantlay, Patrick",0.847,0.235,0.974,0.269,2.326,26,70.90627757540048,0.9848880880734968,273.1608230820719,-6.839176917928114,1.0
0,USA,The Los Angeles Country Club (North Course),5665,28273513,6500,1,91156-77951,7500,USA,20229,"Cink, Stewart",8:35 AM,2:05 PM,,,10,0,golf.p.186,20,-0.033,3.822,"Cink, Stewart",-0.109,-0.017,-0.172,-0.134,-0.433,26,70.97243189052693,1.0022834087816217,297.4295216881524,17.42952168815242,0.0
0,USA,The Los Angeles Country Club (North Course),23604,28273446,7500,0,91156-80788,8800,USA,51766,"Clark, Wyndham",1:10 PM,7:40 AM,,,1,0,golf.p.21868,33,-0.042,14.818,"Clark, Wyndham",0.623,0.143,0.196,0.343,1.305,26,70.915666181034,0.9963224209224619,282.00976261215766,2.009762612157658,0.9999999999842829
0,USA,The Los Angeles Country Club (North Course),21756,28273471,7000,0,91156-151428,8100,USA,47591,"Cole, Eric",12:37 PM,7:07 AM,,,1,0,golf.p.20887,20,-0.04,-1.502,"Cole, Eric",0.189,0.217,-0.017,0.279,0.668,26,70.94855364393705,1.03360240471176,287.76832028294393,7.768320282943932,0.796409164286564
0,CAN,The Los Angeles Country Club (North Course),17576,28273439,7800,1,91156-77966,9600,CAN,39997,"Conners, Corey",8:02 AM,1:32 PM,,,1,0,golf.p.14036,33,0.059,1.745,"Conners, Corey",0.553,-0.053,0.633,-0.035,1.098,26,70.94323152292384,1.0175043408785742,284.02615808698346,4.0261580869834575,0.9999969045407024
0,USA,The Los Angeles Country Club (North Course),14509,28273489,6800,1,91156-77984,8000,USA,34076,"Dahmen, Joel",8:24 AM,1:54 PM,,,1,0,golf.p.11907,21,0.05,-3.95,"Dahmen, Joel",0.111,0.007,0.125,-0.287,-0.045,26,70.94354669961258,1.0051866829179688,293.8458489865115,13.845848986511498,1.0298103003680836e-07
0,SWE,The Los Angeles Country Club (North Course),14018,28273502,6700,1,91156-77988,7000,SWE,33459,"Dantorp, Jens",7:18 AM,12:48 PM,,,10,0,golf.p.11223,28,0.0,-3.806,"Dantorp, Jens",-0.628,-0.145,-0.253,-0.241,-1.267,26,71.01697137719628,0.9729893433352927,304.9903123256876,24.990312325687626,0.0
0,AUS,The Los Angeles Country Club (North Course),17786,28273459,7200,0,91156-77994,8500,AUS,45157,"Davis, Cameron",1:21 PM,7:51 AM,,,1,0,golf.p.21332,28,-0.04,11.742,"Davis, Cameron",0.209,0.037,0.509,0.004,0.759,26,70.92179759195119,1.003718576757151,286.7560532172105,6.756053217210479,0.9687025514926464
0,AUS,The Los Angeles Country Club (North Course),9771,28273435,8100,1,91156-77997,10200,AUS,28089,"Day, Jason",8:02 AM,1:32 PM,,,10,0,golf.p.7542,40,0.019,5.415,"Day, Jason",0.417,0.253,0.482,0.322,1.473,26,70.9397140620351,0.9715199564256577,280.7637098301863,0.7637098301863148,0.9999999999999997
0,USA,The Los Angeles Country Club (North Course),19841,28273442,7600,1,91156-78005,9800,USA,47959,"DeChambeau, Bryson",7:40 AM,1:10 PM,,,10,0,golf.p.19918,22,-0.068,22.293,"DeChambeau, Bryson",0.097,-0.103,0.625,0.167,0.787,26,70.96384110688253,1.0413727086642917,286.88537187609063,6.88537187609063,0.9525945596992929
0,COL,The Los Angeles Country Club (North Course),22833,28273515,6500,0,91156-179513,7300,COL,51349,"Echavarria, Nicolas",12:15 PM,6:45 AM,,,10,0,golf.p.21410,20,-0.016,0.322,"Echavarria, Nicolas",-0.35,-0.133,-0.177,0.022,-0.637,26,70.93082349259855,1.011967158018479,298.8426822166686,18.842682216668607,0.0
