tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Day, Jason",9771,T12,1,Plantation Course at Kapalua,656,73,70,0.277,-0.053,-0.902,1.022,0.066,0.344,303.1,0.8,0.833,0.667,47.759,29.274
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Gomez, Fabian",8571,20,1,Plantation Course at Kapalua,656,73,70,1.832,0.357,-1.338,-0.507,-1.489,0.344,281.6,0.733,0.722,0.625,46.673,40.227
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Hoffman, Charley",5768,T17,4,Plantation Course at Kapalua,656,73,69,-1.385,1.428,1.594,0.487,3.511,2.125,299.2,0.733,0.778,0.556,40.279,36.228
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Hoffman, Charley",5768,T17,3,Plantation Course at Kapalua,656,73,71,-1.174,-1.891,1.682,0.321,0.112,-1.062,299.7,0.733,0.833,0.25,51.014,25.433
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Hoffman, Charley",5768,T17,2,Plantation Course at Kapalua,656,73,70,1.1,-0.357,-1.092,0.443,-1.007,0.094,300.1,0.733,0.778,0.6,44.944,27.438
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Hoffman, Charley",5768,T17,1,Plantation Course at Kapalua,656,73,71,-0.489,-0.045,-0.57,0.449,-0.167,-0.656,295.7,0.867,0.611,0.545,21.45,34.751
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Pampling, Rod",5668,T17,4,Plantation Course at Kapalua,656,73,69,-0.944,1.467,1.417,0.184,3.07,2.125,281.3,0.933,0.944,0.75,5.427,33.873
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Pampling, Rod",5668,T17,3,Plantation Course at Kapalua,656,73,72,-2.721,0.443,0.095,0.12,0.659,-2.062,284.9,0.867,0.889,0.333,60.603,35.264
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Pampling, Rod",5668,T17,2,Plantation Course at Kapalua,656,73,71,0.232,0.168,-1.636,0.329,-1.139,-0.906,280.5,0.933,0.833,0.714,89.937,32.065
pga,2017,2017,2017-01-08,SBS Tournament of Champions,16,"Pampling, Rod",5668,T17,1,Plantation Course at Kapalua,656,73,69,1.178,-0.736,0.299,0.602,0.165,1.344,286.6,1.0,0.833,0.4,,42.114
